Event	Purity
0	0.5435849139500857
1	0.42701652825217284
2	0.5551574991697317
3	0.7053875933703575
4	0.26816434872713174
5	0.505576185054328
6	0.4778038329769924
7	0.037067427376004186
8	0.4917562793328305
9	0.549822946409454
10	0.11003973934783676
11	0.46526540843087566
12	0.43466659245240424
13	0.47592325729677815
14	0.4906926619150714
15	0.427258000947968
16	0.7033721991490041
17	1
18	0.7628656461183969
19	0.47742478926192666
20	0.9911755946790607
21	0.5998079167709869
22	0.3534663017992334
23	0.47621813704702914
24	0.5799948206217067
25	0.5369570463257486
26	0.30861809996051454
27	0.24728327781589474
28	0.38595633214192004
29	0.5112822675019051
30	0.29554648042265125
31	0.3911200668566056
32	0.7425524910136886
33	0.35841283514212174
34	0.5962103600303558
35	0.964196234920905
36	1
37	0.4808389067542614
38	0.29318953673411796
39	0.4065368900713452
40	0.40343672563522637
41	0.2602187516396646
42	0.32135533799662513
43	0.24384568895016942
44	0.7453978551273298
45	0.36279616870592224
46	0.7334590730704252
47	0.3786824852387701
48	0.4287259894524923
49	0.5558150862318847
50	0.6298853387553474
51	0.9268011776301378
52	0.5831045592150692
53	0.47726129847732185
54	0.7614188461857851
55	0.5364310808824072
56	0.7558937018461693
57	0.7145095564983627
58	0.6189144697207928
59	0.5471847706003484
60	0.5217412133699859
61	0.4750154827428305
62	0.582645149672604
63	0.658948598119652
64	0.5029012591625098
65	0.33198382669355836
66	0.5509595556481743
67	0.30416385568713733
68	0.46351396196732386
69	0.6891087019438505
70	0.7367155073455255
71	0.24712748315273136
72	0.3589222819756328
73	0.2099246233771495
74	0.440614854535614
75	0.5377379678155488
76	0.613993854284986
77	0.7767713496113025
78	1
79	0.7151541758907003
80	0.7193946458391934
81	0.16193063974737998
82	0.7409200351812977
83	0.7634406689457528
84	0.5251321832429913
85	0.3651274413080808
86	0.4938850059195214
87	0.5279208906807439
88	0.3796275370264934
89	0.5333144676429827
90	1
91	0.7137133581165873
92	0.6791066796864411
93	0.470383552999958
94	0.49571916967270113
95	0.18055739164840542
96	0.4892721946076547
97	0.9937581133264206
98	0.5908837042251964
99	0.43456904384208633
100	0.404007744927664
101	0.22143849306304114
102	0.45402729560600213
103	0.46999942033079295
104	0.442056642297857
105	0.5208225561313414
106	0.5273069943668077
107	0.5073678985349523
108	0.39881978551296904
109	0.4903439669607752
110	0.5016603363244064
111	0.47375321465734327
112	0.7380001323268908
113	0.26104777390081313
114	0.4197668974896941
115	0.5414333460161117
116	0.33878967455181325
117	0.3909768326589507
118	0.5974072917855477
