Event	Purity
0	0.18226821261624432
1	0.9499366887582714
2	0.023489526181139746
3	0.8324034228617132
4	0.684362229003498
5	0.951695050640497
6	0.3373631075445601
7	0.2152040706119836
8	0.16729629348309605
9	0
10	0.07794812676151514
11	0.24900221943903272
12	0.7922731482764309
13	0.9273021996464962
14	0.07673245219172319
15	0.1052402331771203
16	0.13929568672746964
17	0.13304619685611369
18	0.19680744929919203
19	0.8629486862374003
20	0.10063033885907904
21	0.7161142630545653
22	0.2683572661206573
23	0.09303663245444724
24	0.8290088387042127
25	0.08630068754940118
26	0.25198771381959745
27	0.6914622729877291
28	0.9559046479669476
29	0.7447477850289231
30	0.06621836463781267
31	0.7182596656004103
32	0.6732545918292578
33	0.7847137859466452
34	0.27929525180593273
35	0.4125858741633101
36	0.09983688640954706
37	0.8826045543929011
38	0.10320106415869998
39	0.04782842678206179
40	0.40213958721507775
41	0.12800372789943598
42	0.33610538015154023
43	0.8125778696869718
44	0.4348066634416029
45	0.19990469439044248
46	0.7306342884554169
47	0.1960456148056117
48	0.2862536832909868
49	0.5067259328965676
50	0.3697034123115395
51	0.4946463175783425
52	0.19999860985963025
53	0.10740605175740342
54	0.838291814931226
55	0.7732511261721736
56	0.041979288593078305
57	0.2758256788619012
58	0.05944316018345916
59	0.1398387969810977
60	0.04851210149080448
61	0.06654437968920104
62	0.09265810785941922
63	0.27451681317113186
64	0.32818659211156176
65	0.37879220650276496
66	0.3215060450720714
67	0.09130214582704807
68	0.3626550356997906
69	0.04306003077289998
70	0.4090586300366593
71	0.8492552196104469
72	0.3137179811361794
73	0.738092171939343
74	0.9641623702653849
75	0.03419564069151121
76	0.09135736903729931
77	0.7974922484930094
78	0.2945922525396559
79	0
80	0.5398188980165928
81	0.17576823048681675
82	0.035842668526310045
83	0.26256831077550025
84	0.4121319705934938
85	0.9458695471531285
86	0.09527951592295987
87	1
88	0.9332612461011366
89	0.10128517497102821
90	0.41264035976587227
91	0.5893188958532773
92	0.35358656530672405
93	0.18894558247583826
94	0.42737455739358154
95	0.2313344680870503
96	0.5095336316113319
97	0.3083416316394727
98	0.2659570945367848
99	0
100	0.06423133802173825
101	0.2843646676001792
102	0.23248237265433483
103	0.19270357916763958
104	0.1966647536133004
105	0.2968822079227107
106	0.1241258486244376
107	0.26265149911195895
108	0.1973544213379817
109	0.38843269493298327
110	0.6463677053042186
111	0.5234302514813344
112	0.8981292823729318
113	0.6333537898362486
114	0.9741709626275928
115	0.766826508835144
116	0.1278741494794499
117	0.13849119440444424
118	0.8643286316657703
119	0.07960451337989018
120	0.3426736996042954
121	0.08317922862917189
122	0.07862298793765564
123	0.19801794781617518
124	0.3959923965637308
125	0.1473166288411107
126	0.27361121648945697
127	0.14666568429823323
128	0.022150847693360787
129	0.6079067026233518
130	0.1160010232424458
131	0.053254291819273526
132	0.7755330670621986
133	0.16660276076160016
134	0.7912590477004992
135	0.7633532513700326
136	0.8848819424937173
137	0.23785314783141143
138	0.05835249262185454
139	0.24512444074382161
140	0.8390040874443748
141	0.5191299999693568
142	0.11192198116956183
143	0.08921223995560053
144	0.8128757970051469
